exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Dumbbell Lunge,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Standing Forearm Pronation,Auxiliary,Isolated,pronators,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Lever Seated Twist (gripless),Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Deltoid, Anterior', 'Adductors, Hip (side of rotating direction)']",[''],[''],Waist,Legs
Angled Side Bridge,Auxiliary,Isolated,obliques,"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Levator Scapulae']","['Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor']",[''],[''],Waist,Legs
Cambered Barbell Lying Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Upright Row (dual pulley),Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Hanging Leg-Hip Raise (with ab straps),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],[''],Waist,Legs
Lever Seated High Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Standing Leg Curl,Basic or Auxiliary,Compound,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],['Tibialis Anterior'],Thighs,Legs
Lever Split Squat (plate loaded),Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Cable Alternating Preacher Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Handstand Push-up (on parallettes),Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii, Short Head']",[''],Shoulders,Shoulders
Band-assisted Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Weighted Vertical Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Dumbbell Curl,Basic,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Partner-assisted Rear Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",[''],Back,Back
"45° Hyperextension (across bench, arms crossed)",Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Suspended Inverted Shrug,Basic or Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",[''],[''],[''],Back,Back
Lever Single Leg Seated Tibia Raise (plate loaded),Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever Lying Rear Lateral Raise (plate loaded),Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['No significant stabilizers'],[''],[''],Shoulders,Shoulders
Glute-Ham Raise (hands behind neck),Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus', 'Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques', 'Tibialis Anterior']",Thighs,Legs
Sled Hack Squat,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Dumbbell Lateral Step-up,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (following leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (lead leg)']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable Rear Step-down Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Lever Seated Leg Raise Crunch (plate loaded),Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Cable Split Squat,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Erector Spinae', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Barbell Rear Delt Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Dumbbell Bent-over Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",['Triceps (supporting arm)'],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Weighted Bent-knee Lying Twist,Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Posterior', 'Triceps', 'Adductors, Hip']",[''],[''],Waist,Legs
Dumbbell Pullover (on arched bench),Auxiliary,Isolated,"pectoralis major, sternal","['Latissimus Dorsi', 'Teres Major', 'Triceps, Long Head', 'Deltoid, Posterior', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae']","['Triceps Brachii', 'Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Chest,Chest
Hanging Straight Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],[''],Waist,Legs
Barbell Hyperextension,Basic or Auxiliary,Compound,hamstrings,"['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']","['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Pectoralis Minor', 'Rhomboids']",[''],[''],Thighs,Legs
Barbell Zercher Squat,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Supraspinatus', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Trapezius, Lower', 'Serratus Anterior', 'Biceps Brachii', 'Brachialis', 'Brachioradialis']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Single Leg Seated Leg Curl (plate loaded),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",[''],[''],['Tibialis Anterior'],Thighs,Legs
Lever Seated Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",[''],[''],['Tibialis Anterior'],Thighs,Legs
Weighted Inverted Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Gluteus Maximus', 'Hamstrings']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Lever Seated Twisting Leg Raise Crunch (plate loaded),Auxiliary,Isolated,obliques,['Rectus Abdominis'],"['Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Cable Triceps Extension (with rope),Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis\nMajor, Clavicular', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Pike Press (between benches),Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Serratus Anterior', 'Quadriceps', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Rectus Abdominis', 'Obliques']","['Triceps, Long Head', 'Biceps Brachii, Short Head']",['Erector Spinae'],Shoulders,Shoulders
Lever Iron Cross,Basic,Compound,latissimus dorsi,"['Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",['No significant stabilizers'],[''],[''],Back,Back
Alternating Bird Dog (on exercise ball),Auxiliary,Isolated,erector spinae,"['Gluteus Maximus', 'Trapezius, Lower', 'Trapezius, Middle', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Hamstrings']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Triceps Brachii']",[''],"['Rectus Abdominis', 'Obliques']",Back,Back
Cable Lying Leg Raise (on bench),Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques']",['Rectus Femoris'],[''],Waist,Legs
Incline Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],['Tibialis Anterior'],[''],[''],Waist,Legs
"Lever Reverse Calf Raise (on v-squat machine, plate loaded)",Basic or Auxiliary,Isolated,tibialis anterior,['None'],[''],[''],[''],Calves,Legs
Sled Single Leg Vertical Leg Press,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Smith Behind Neck Press,Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Suspended Hanging Leg Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris\xa0(see notes)'],[''],Waist,Legs
Sled Lying Calf Press,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Cable Lying Crunch (on stability ball),Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Rhomboids', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior']",[''],[''],Waist,Legs
Band-assisted Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Lever Chest Press,Basic,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Reverse Calf Extension (plate loaded),Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Cable Kneeling Bent-over Pulldown,Auxiliary,Compound,latissimus dorsi,"['Pectoralis Major, Sternal', 'Triceps, Long Head', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor', 'Brachialis', 'Brachioradialis', 'Biceps Brachii']","['Rectus Abdominis', 'Obliques']",[''],[''],Back,Back
"Lever Preacher Curl (arms high, plate loaded)",Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Lever Triceps Dip (plate loaded),Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Suspended Pike,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Rectus Femoris']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Pectoralis major', 'Deltoid, Anterior', 'Serratus Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Trapezius, Lower', 'Triceps Brachii']",[''],"['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",Waist,Legs
Cable One Arm Rear Delt Row,Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Obliques']",['Biceps Brachii'],[''],Shoulders,Shoulders
Cable One Arm Triceps Extension (pronated grip),Auxiliary,Isolated,triceps brachii,['None'],['Wrist Flexors'],[''],[''],Upper Arms,Arms
Smith Squat,Basic,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Seated High Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Barbell Rear Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Cable Standing Hip Extension,Auxiliary,Isolated,gluteus maximus,['Hamstrings'],"['Erector Spinae', 'Obliques', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",[''],['Rectus Abdominis'],Hips,Legs
Single Leg 45° Hyperextension,Basic or Auxiliary,Compound,hamstrings,"['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']",[''],[''],[''],Thighs,Legs
Cable Bar Curl,Basic,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Cable Alternating Seated Curl,Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Dumbbell One Arm Shoulder Press,Basic or Auxiliary,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Pectoralis Major, Clavicular', 'Obliques', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Single Leg Partial Box Squat (pistol),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae (see notes)', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Single Leg Split Squat (plate loaded),Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Cable Pulldown (pro lat bar),Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Smith Bent-over Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Lever Incline Chest Press,Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Seated Rear Lateral Raise (plate loaded),Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Lever Upright Shoulder Internal Rotation,Auxiliary,Isolated,subscapularis,"['Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major']","['Serratus Anterior', 'Wrist Flexors']",[''],[''],Shoulders,Shoulders
"Lever Wide Grip Seated Row (high bar, plate loaded)",Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Self-assisted Step-down,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (following leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (lead leg)']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever 45° Reverse Calf Press (plate loaded),Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Lever V-Squat (plate loaded),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Dumbbell Lying Supination (arm down),Auxiliary,Isolated,supinator,['Biceps Brachii'],[''],[''],[''],Forearms,Arms
